User Name,Category,Location,Business Size,Investors
JohnSmith,Mobile,Mumbai,Small,"TechInvest, MobileFund"
EmilyJohnson,Dairy,Bangalore,Medium,"MilkCapital, DairyVentures"
RahulGupta,Bakery,Delhi,Small,"BakeInvest, Pastry Partners"
PriyaPatel,Repairing,Kolkata,Large,"FixItFund, RepairTech Ventures"
AlexWong,Clothing,Chennai,Medium,"FashionForward Investments, StyleVentures"
RyanClark,Automotive,Pune,Large,"DriveForward Investment Group, AutoFund"
SophiaKhan,Hospitality,Jaipur,Medium,"Resort Ventures, Hospitality Capital"
AaravShah,Retail,Ahmedabad,Small,"ShopInvest, RetailCapital"
MayaReddy,Entertainment,Hyderabad,Large,"Star Studios, Entertainment Ventures"
ArjunKumar,HomeDecor,Gurugram,Small,"DecorInvest, HomeDesign Partners"
MiaBrown,Grocery,Delhi,Medium,"FreshFund, GroceryCapital"
EthanChen,Pharmacy,Mumbai,Large,"MedInvest, PharmaFund"
LilyThomas,Salon,Bangalore,Small,"BeautyInvest, StyleSalon Ventures"
VikramSingh,Fitness,Pune,Medium,"FitInvest, Fitness Partners"
AvaWilson,Restaurant,Chennai,Large,"FoodCapital, Dining Ventures"
NoahLee,Electronics,Jaipur,Medium,"TechInvest, ElectronicVentures"
IsabellaMartinez,PetStore,Ahmedabad,Small,"PetInvest, Paws Partners"
EthanPatel,Stationery,Kolkata,Large,"PaperInvest, WriteFund"
OliviaTaylor,Bookstore,Hyderabad,Medium,"BookInvest, ReaderVentures"
AriaSingh,Furniture,Gurugram,Small,"DecorInvest, HomeDesign Partners"
LiamWilson,Jewelry,Delhi,Medium,"JewelInvest, Gem Ventures"
ZoeBrown,Cafe,Mumbai,Large,"CoffeeCapital, CafeVentures"
AaravSharma,Construction,Bangalore,Small,"BuildInvest, Construct Partners"
AvaThomas,Gardening,Pune,Medium,"GreenThumb Capital, GardenGrow Fund"
MiaSingh,Cosmetics,Jaipur,Large,"BeautyInvest, Makeup Fund"
EthanReddy,Printing,Ahmedabad,Medium,"PrintInvest, Ink Partners"
OliviaKumar,Photography,Kolkata,Small,"ClickInvest, Lens Ventures"
ArjunReddy,Laundry,Hyderabad,Large,"WashInvest, LaundryTech Fund"
AvaPatel,Transportation,Gurugram,Medium,"TransportCapital, Travel Ventures"
MiaSharma,ArtGallery,Delhi,Small,"ArtInvest, Gallery Partners"
EthanSmith,Hardware,Mumbai,Large,"BuildInvest, HardwareFund"
OliviaJones,Software,Bangalore,Medium,"CodeCapital, Tech Ventures"
AriaThomas,Consulting,Pune,Small,"ConsultInvest, Business Partners"
LiamGupta,Insurance,Chennai,Large,"SecureInvest, Insurance Fund"
ZoeSingh,Cafe,Jaipur,Medium,CoffeeHub
AaravKumar,Grocery,Ahmedabad,Small,"FreshFund, GroceryCapital"
AvaBrown,Education,Kolkata,Large,"EduInvest, Learning Partners"
MiaPatel,Restaurant,Hyderabad,Medium,"FoodCapital, Dining Ventures"
EthanWilson,Bakery,Gurugram,Small,"BakeInvest, Pastry Partners"
OliviaChen,Fitness,Delhi,Large,"FitInvest, Fitness Partners"
ArjunSmith,Mobile,Mumbai,Medium,"TechInvest, MobileFund"
AvaJohnson,Dairy,Bangalore,Small,"MilkCapital, DairyVentures"
MiaGupta,Repairing,Pune,Large,"FixItFund, RepairTech Ventures"
EthanPatel,Clothing,Jaipur,Medium,"FashionForward Investments, StyleVentures"
OliviaWong,Automotive,Ahmedabad,Small,"DriveForward Investment Group, AutoFund"
AriaClark,Hospitality,Kolkata,Large,"Resort Ventures, Hospitality Capital"
LiamKhan,Retail,Hyderabad,Medium,"ShopInvest, RetailCapital"
ZoeShah,Entertainment,Gurugram,Small,"Star Studios, Entertainment Ventures"
AaravReddy,HomeDecor,Mumbai,Large,"DecorInvest, HomeDesign Partners"
